STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/1/19,54,62,41
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/2/19,52,61,39
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/3/19,54,66,45
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/4/19,54,63,44
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/5/19,54,58,48
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/6/19,53,59,49
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/7/19,54,60,51
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/8/19,59,71,51
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/9/19,57,63,48
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/10/19,57,61,50
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/11/19,56,65,51
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/12/19,55,61,52
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/13/19,54,61,46
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/14/19,55,57,51
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/15/19,54,59,50
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/16/19,55,61,54
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/17/19,60,61,58
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/18/19,59,64,54
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/19/19,61,76,52
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/20/19,62,70,54
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/21/19,59,62,54
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/22/19,58,65,52
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/23/19,56,65,45
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/24/19,59,78,49
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/25/19,62,75,50
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/26/19,62,74,50
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/27/19,63,73,51
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/28/19,60,70,49
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/29/19,61,68,55
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/30/19,59,64,55
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1/31/19,58,60,53
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/1/19,55,63,49
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/2/19,57,60,52
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/3/19,56,59,51
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/4/19,56,60,53
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/5/19,54,56,47
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/6/19,50,55,44
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/7/19,51,61,42
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/8/19,53,61,42
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/9/19,52,58,46
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/10/19,52,58,48
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/11/19,51,59,42
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/12/19,54,68,44
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/13/19,55,61,51
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/14/19,57,63,53
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/15/19,56,60,50
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/16/19,53,59,48
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/17/19,53,56,45
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/18/19,52,59,46
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/19/19,52,58,42
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/20/19,50,58,42
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/21/19,51,57,45
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/22/19,50,60,41
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/23/19,52,61,41
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/24/19,54,64,45
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/25/19,56,65,47
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/26/19,55,62,48
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/27/19,57,63,53
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2/28/19,58,64,55
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",3/1/19,58,62,56
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",3/2/19,58,62,55
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",3/3/19,57,59,55
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",3/4/19,57,61,54
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",3/5/19,55,62,48
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",3/6/19,58,61,55
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",3/7/19,57,60,52
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",3/8/19,55,59,50
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",3/9/19,54,61,47
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",3/10/19,53,60,48
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",3/11/19,56,67,49
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",3/12/19,62,68,53
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",3/13/19,59,68,54
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",3/14/19,59,70,49
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",3/15/19,62,74,48
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",3/16/19,67,78,50
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",3/17/19,66,81,56
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",3/18/19,64,73,55
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",3/19/19,59,65,53
