"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-01","10.4","15.0","4.4"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-02","3.3","5.0","1.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-03","4.9","7.8","1.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-04","3.7","7.2","1.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-05","6.9","7.8","5.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-06","6.6","10.6","-0.5"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-07","-1.0","1.7","-3.8"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-08","4.3","7.8","1.7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-09","6.3","8.3","1.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-10","1.2","2.2","-2.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-11","-2.4","0.0","-5.5"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-12","-3.3","1.7","-6.6"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-13","-1.6","0.6","-4.3"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-14","-2.5","0.6","-4.3"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-15","-1.8","2.2","-4.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-16","-0.1","3.9","-3.8"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-17","-0.6","1.1","-3.8"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-18","0.4","3.9","-2.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-19","1.6","3.9","-1.6"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-01-20","3.2","10.0","-9.3"
